Movie Title,Movie Year,Runtime,Genre,Rating,Director,Votes,gross
Suspiria I,2018,152,Drama Fantasy Horror,6.7,Luca Guadagnino,84786,2.47
Under the Skin I,2013,108,Drama Horror Mystery,6.3,Jonathan Glazer,149804,2.61
The Innocents,1961,100,Horror,7.8,Jack Clayton,31689,2.62
The Haunting,1963,112,Horror,7.4,Robert Wise,40711,2.62
The Pyramid,2014,89,Horror Mystery Thriller,4.6,Grégory Levasseur,25483,2.76
eXistenZ,1999,97,Horror Mystery Sci-Fi,6.8,David Cronenberg,103653,2.84
Vampires,1998,108,Action Horror Thriller,6.1,John Carpenter,61502,20.24
Pulse I,2006,90,Horror Sci-Fi Thriller,4.7,Jim Sonzero,30021,20.26
Valentine,2001,96,Horror Mystery Thriller,4.9,Jamie Blanks,29306,20.38
Land of the Dead,2005,93,Horror Sci-Fi Thriller,6.2,George A. Romero,98740,20.7
Jaws: The Revenge,1987,89,Adventure Horror Thriller,3,Joseph Sargent,47708,20.76
The Dead Zone,1983,103,Drama Horror Sci-Fi,7.2,David Cronenberg,73727,20.77
Blair Witch,2016,89,Horror Mystery Thriller,5,Adam Wingard,47890,20.78
The Hills Have Eyes 2,2007,89,Horror Thriller,5.1,Martin Weisz,65955,20.8
The X Files: I Want to Believe,2008,104,Crime Drama Horror,5.9,Chris Carter,92694,20.98
World War Z,2013,116,Action Adventure Horror,7,Marc Forster,688746,202.36
Creepshow,1982,120,Comedy Fantasy Horror,6.8,George A. Romero,50496,21.03
Tales from the Crypt: Demon Knight,1995,92,Action Fantasy Horror,6.7,Ernest R. Dickerson,25144,21.09
Stir of Echoes,1999,99,Horror Mystery Thriller,6.9,David Koepp,84251,21.13
Cabin Fever,2002,93,Horror,5.6,Eli Roth,80830,21.16
Christine,1983,110,Horror Thriller,6.7,John Carpenter,87453,21.2
As Above So Below,2014,93,Horror Mystery Thriller,6.2,John Erick Dowdle,101124,21.2
Cujo,1983,93,Horror Thriller,6.1,Lewis Teague,48166,21.2
The Fog,1980,89,Horror Thriller,6.8,John Carpenter,78302,21.38
The Darkest Hour,2011,89,Action Adventure Horror,4.9,Chris Gorak,62428,21.43
Psycho,1998,105,Horror Mystery Thriller,4.6,Gus Van Sant,49550,21.46
Overlord,2018,110,Action Horror Sci-Fi,6.6,Julius Avery,102874,21.7
Friday the 13th Part 2,1981,87,Horror Mystery Thriller,6.1,Steve Miner,72452,21.72
Hellboy,2019,120,Action Adventure Fantasy,5.2,Neil Marshall,94121,21.9
Friday the 13th: A New Beginning,1985,92,Horror Mystery Thriller,4.7,Danny Steinmann,41029,21.93
It Chapter Two,2019,191,Drama Fantasy Horror,6.5,Andy Muschietti,281137,211.59
Frankenstein,1994,123,Drama Horror Romance,6.3,Kenneth Branagh,57239,22.01
A Nightmare on Elm Street: The Dream Child,1989,89,Fantasy Horror,5,Stephen Hopkins,48222,22.17
47 Meters Down: Uncaged,2019,90,Adventure Drama Horror,5,Johannes Roberts,28859,22.26
The Bye Bye Man,2017,96,Drama Fantasy Horror,4.3,Stacy Title,25127,22.38
Stay Alive,2006,85,Fantasy Horror Mystery,5,William Brent Bell,33235,23.09
The Covenant,2006,97,Action Adventure Fantasy,5.2,Renny Harlin,50834,23.29
The Wicker Man,2006,102,Horror Mystery Thriller,3.8,Neil LaBute,69700,23.64
The New Mutants,2020,94,Action Horror Mystery,5.3,Josh Boone,84381,23.86
The Exorcist,1973,122,Horror,8.1,William Friedkin,422330,232.91
Don't Be Afraid of the Dark,2010,99,Fantasy Horror Thriller,5.5,Troy Nixey,49772,24.04
The People Under the Stairs,1991,102,Comedy Horror Mystery,6.4,Wes Craven,37305,24.2
The Strangers: Prey at Night,2018,85,Horror,5.2,Johannes Roberts,32686,24.43
The Craft,1996,101,Drama Fantasy Horror,6.4,Andrew Fleming,99986,24.88
Fright Night,1985,106,Fantasy Horror,7,Tom Holland,74547,24.92
Invasion of the Body Snatchers,1978,115,Horror Sci-Fi,7.4,Philip Kaufman,64115,24.95
The Hills Have Eyes,1977,90,Horror Thriller,6.3,Wes Craven,37196,25
Piranha 3D,2010,88,Comedy Horror,5.5,Alexandre Aja,94107,25
Grindhouse,2007,191,Action Horror Thriller,7.5,Robert Rodriguez,187623,25.04
Winchester,2018,99,Drama Fantasy Horror,5.4,Michael Spierig,35434,25.09
The Reaping,2007,99,Horror Thriller,5.6,Stephen Hopkins,43940,25.12
The VVitch: A New-England Folktale,2015,92,Drama Fantasy Horror,6.9,Robert Eggers,277751,25.14
Escape Room: Tournament of Champions,2021,88,Action Adventure Horror,5.7,Adam Robitel,52337,25.19
The Fourth Kind,2009,98,Horror Mystery Sci-Fi,5.9,Olatunde Osunsanmi,79762,25.46
Dark Water,2005,105,Drama Horror Mystery,5.6,Walter Salles,64235,25.47
Mimic,1997,105,Horror Sci-Fi,6,Guillermo del Toro,53560,25.48
A Nightmare on Elm Street,1984,91,Horror,7.4,Wes Craven,248750,25.5
Halloween II,1981,92,Horror,6.5,Rick Rosenthal,96004,25.53
The Mist,2007,126,Horror Sci-Fi Thriller,7.1,Frank Darabont,323435,25.59
From Dusk Till Dawn,1996,108,Action Crime Horror,7.2,Robert Rodriguez,326069,25.75
Candyman,1992,99,Horror Thriller,6.7,Bernard Rose,95591,25.79
The Lazarus Effect,2015,83,Horror Mystery Sci-Fi,5.2,David Gelb,44970,25.8
Shutter I,2008,85,Horror Mystery Thriller,5.2,Masayuki Ochiai,36208,25.93
I Am Legend,2007,101,Action Drama Horror,7.2,Francis Lawrence,781259,256.39
